,alpha,beta,m_connections,index_cases,graph,rmse
709,0.84,0.8300000000000001,100,3,barabasi_albert_graph_100,171.0954524414774
902,0.8,0.88,100,3,barabasi_albert_graph_100,171.10210626766337
1089,0.76,0.99,100,3,barabasi_albert_graph_100,171.12946066558004
229,0.9400000000000001,0.68,100,3,barabasi_albert_graph_100,171.1891890907205
1878,0.62,0.03,100,3,barabasi_albert_graph_100,171.18990804187206
1090,0.76,0.98,100,3,barabasi_albert_graph_100,171.2258292880622
133,0.96,0.65,100,3,barabasi_albert_graph_100,171.23009710283458
1091,0.76,0.97,100,3,barabasi_albert_graph_100,171.25927262936293
1086,0.78,0.03,100,3,barabasi_albert_graph_100,171.26576289048998
36,0.98,0.63,100,3,barabasi_albert_graph_100,171.27566624057792
995,0.78,0.9400000000000001,100,3,barabasi_albert_graph_100,171.27712586960888
326,0.92,0.7000000000000001,100,3,barabasi_albert_graph_100,171.2903517872055
520,0.88,0.74,100,3,barabasi_albert_graph_100,171.39753611010684
998,0.78,0.91,100,3,barabasi_albert_graph_100,171.41716995052204
616,0.86,0.77,100,3,barabasi_albert_graph_100,171.45829275321202
710,0.84,0.8200000000000001,100,3,barabasi_albert_graph_100,171.4824054666116
711,0.84,0.81,100,3,barabasi_albert_graph_100,171.48251761084524
615,0.86,0.78,100,3,barabasi_albert_graph_100,171.51999210677363
712,0.84,0.8,100,3,barabasi_albert_graph_100,171.52398352147995
996,0.78,0.93,100,3,barabasi_albert_graph_100,171.56732251173634
807,0.8200000000000001,0.84,100,3,barabasi_albert_graph_100,171.6298118267695
230,0.9400000000000001,0.67,100,3,barabasi_albert_graph_100,171.6310667592644
424,0.9,0.71,100,3,barabasi_albert_graph_100,171.63223204550792
327,0.92,0.6900000000000001,100,3,barabasi_albert_graph_100,171.64254000235937
37,0.98,0.62,100,3,barabasi_albert_graph_100,171.6648568488119
521,0.88,0.73,100,3,barabasi_albert_graph_100,171.69194237623114
1581,0.68,0.03,100,3,barabasi_albert_graph_100,171.69391369527344
